origin_city,origin_country,origin_station,destination_city,destination_country,destination_station,operator_name,duration,trip_count,frequency_bucket,transport_type,frequency_daily,frequency_label
Berlin,DE,Berlin central bus station,Brussels-North train,FR,Brussels-North train station,FlixBus/EU,12:10,22.0,Average,,,
Hanover,DE,Hanover central bus station,Brussels-North train,FR,Brussels-North train station,FlixBus/EU,07:10,11.0,Low,,,
Prague (Central Florenc),DE,Prague (Central Bus Station Florenc),Erfurt central train station (),DE,Erfurt central train station (ZOB),FlixBus/EU,06:25,6.0,Low,,,
Erfurt central train station (),DE,Erfurt central train station (ZOB),Prague (Central Florenc),DE,Prague (Central Bus Station Florenc),FlixBus/EU,06:15,6.0,Low,,,
Prague (Central Florenc),DE,Prague (Central Bus Station Florenc),Munich,DE,Munich central bus station,FlixBus/EU,05:05,36.0,Very High,,,
Munich,DE,Munich central bus station,Prague (Central Florenc),DE,Prague (Central Bus Station Florenc),FlixBus/EU,05:25,36.0,Very High,,,
Essen central train station (Freiheit),DE,Essen central train station (Freiheit),Prague (Central Florenc),DE,Prague (Central Bus Station Florenc),FlixBus/EU,13:15,6.0,Low,,,
Prague (Central Florenc),DE,Prague (Central Bus Station Florenc),Essen central train station (Freiheit),DE,Essen central train station (Freiheit),FlixBus/EU,13:10,6.0,Low,,,
Frankfurt central train,FR,Frankfurt central train station,Paris (Bercy Seine),FR,Paris (Bercy Seine),FlixBus/EU,08:45,18.0,Average,,,
Paris (Bercy Seine),FR,Paris (Bercy Seine),Frankfurt central train,FR,Frankfurt central train station,FlixBus/EU,09:15,18.0,Average,,,
Budapest Népliget,HU,Budapest Népliget bus station,Ulm (Eberhard-Finckh-Straße),DE,Ulm (Eberhard-Finckh-Straße),FlixBus/EU,11:10,2.0,Very Low,,,
Ulm (Eberhard-Finckh-Straße),DE,Ulm (Eberhard-Finckh-Straße),Budapest Népliget,HU,Budapest Népliget bus station,FlixBus/EU,11:00,2.0,Very Low,,,
Budapest Népliget,HU,Budapest Népliget bus station,Paris (Bercy Seine),FR,Paris (Bercy Seine),FlixBus/EU,21:05,12.0,Low,,,
Paris (Bercy Seine),FR,Paris (Bercy Seine),Budapest Népliget,HU,Budapest Népliget bus station,FlixBus/EU,20:45,12.0,Low,,,
Munich,DE,Munich central bus station,Meran (Merano) - Terme,IT,Meran (Merano) - Terme,FlixBus/EU,04:35,64.0,Very High,,,
Meran (Merano) - Terme,IT,Meran (Merano) - Terme,Munich,DE,Munich central bus station,FlixBus/EU,04:40,73.0,Very High,,,
Meran (Merano) - Terme,IT,Meran (Merano) - Terme,Munich International Airport,DE,Munich International Airport,FlixBus/EU,05:30,22.0,Average,,,
Munich International Airport,DE,Munich International Airport,Meran (Merano) - Terme,IT,Meran (Merano) - Terme,FlixBus/EU,05:25,23.0,Average,,,
